"pair","method_code","b_parallel","se_parallel","pval_parallel","b_serial","se_serial","pval_serial","abs_beta_delta","abs_se_delta","abs_pval_delta"
1,"ivw",-0.068584997541576,0.122358553148448,0.575121562032903,-0.068584997541576,0.122358553148448,0.575121562032903,0,0,0
1,"egger",0.0747652352076674,0.184742246158331,0.686777901526523,0.0747652352076674,0.184742246158331,0.686777901526523,0,0,0
1,"weighted_median",0.0213984032103163,0.122965186654205,0.861849735183584,0.0213984032103163,0.122965186654205,0.861849735183584,0,0,0
1,"simple_mode",0.00507167735738775,0.824480626371404,0.99510708050583,0.00507167735738775,0.824480626371404,0.99510708050583,0,0,0
1,"weighted_mode",0.00507167735738775,0.807945127532419,0.995006942765222,0.00507167735738775,0.807945127532419,0.995006942765222,0,0,0
2,"ivw",0.056116202616628,0.132047511944845,0.670858701922398,0.056116202616628,0.132047511944845,0.670858701922398,0,0,0
2,"egger",0.115585222774118,0.194262680119804,0.553526441057109,0.115585222774118,0.194262680119804,0.553526441057109,0,0,0
2,"weighted_median",-0.0653926362987833,0.117821618013408,0.57888514957116,-0.0653926362987833,0.117821618013408,0.57888514957116,0,0,0
2,"simple_mode",0.0675510498801165,0.875346747964604,0.938678119424736,0.0675510498801165,0.875346747964604,0.938678119424736,0,0,0
2,"weighted_mode",0.0675510498801165,0.849592679722368,0.936823146544891,0.0675510498801165,0.849592679722368,0.936823146544891,0,0,0
3,"ivw",-0.0125373812691036,0.110659808737147,0.909795404221192,-0.0125373812691036,0.110659808737147,0.909795404221192,0,0,0
3,"egger",-0.248785356432441,0.158388518910065,0.120192715993888,-0.248785356432441,0.158388518910065,0.120192715993888,0,0,0
3,"weighted_median",0.118714155364996,0.115761690422259,0.305125118018315,0.118714155364996,0.115761690422259,0.305125118018315,0,0,0
3,"simple_mode",0.0781361683584871,0.607201555622196,0.897927922295337,0.0781361683584871,0.607201555622196,0.897927922295337,0,0,0
3,"weighted_mode",0.0781361683584871,0.561256719531625,0.889624669582323,0.0781361683584871,0.561256719531625,0.889624669582323,0,0,0
4,"ivw",0.243562419519363,0.179161166456426,0.174000904476762,0.243562419519363,0.179161166456426,0.174000904476762,0,0,0
4,"egger",0.676990325024688,0.268374039625948,0.0136333491368836,0.676990325024688,0.268374039625948,0.0136333491368836,0,0,0
4,"weighted_median",0.037803451898714,0.143934078011633,0.792824822969064,0.037803451898714,0.143934078011633,0.792824822969064,0,0,0
4,"simple_mode",0.331828613370888,0.980981645734705,0.736041111310842,0.331828613370888,0.980981645734705,0.736041111310842,0,0,0
4,"weighted_mode",0.0602297153698369,0.97052580781473,0.950668846321171,0.0602297153698369,0.97052580781473,0.950668846321171,0,0,0
5,"ivw",-0.0813802235882589,0.116793003334356,0.485934081587198,-0.0813802235882589,0.116793003334356,0.485934081587198,0,0,0
5,"egger",-0.198961861325392,0.165423435227396,0.232623440514422,-0.198961861325392,0.165423435227396,0.232623440514422,0,0,0
5,"weighted_median",-0.285422891987123,0.0920084391067501,0.00192128252924272,-0.285422891987123,0.0920084391067501,0.00192128252924272,0,0,0
5,"simple_mode",-0.271076744513413,1.59179973622807,0.86520218774676,-0.271076744513413,1.59179973622807,0.86520218774676,0,0,0
5,"weighted_mode",-0.271076744513413,1.60833002537336,0.866574332901021,-0.271076744513413,1.60833002537336,0.866574332901021,0,0,0
6,"ivw",0.0186261865484552,0.161550888629035,0.908210433727667,0.0186261865484552,0.161550888629035,0.908210433727667,0,0,0
6,"egger",0.203265815504275,0.238521341301871,0.396651924583697,0.203265815504275,0.238521341301871,0.396651924583697,0,0,0
