"iteration","exposures","outcomes","snps","max_scalar_delta","max_thread_delta","scalar_gate","thread_gate"
1,4,4,14,4.44089209850063e-16,0,TRUE,TRUE
2,4,6,2,3.55965257270441e-15,0,TRUE,TRUE
3,9,6,10,6.66133814775094e-16,0,TRUE,TRUE
4,3,9,24,3.5527136788005e-15,0,TRUE,TRUE
5,8,6,32,1.11022302462516e-15,0,TRUE,TRUE
6,6,7,6,2.22044604925031e-16,0,TRUE,TRUE
7,6,9,22,1.22124532708767e-15,0,TRUE,TRUE
8,5,8,32,4.16333634234434e-16,0,TRUE,TRUE
9,3,4,10,8.88178419700125e-16,0,TRUE,TRUE
10,7,8,31,6.10622663543836e-16,0,TRUE,TRUE
11,4,9,14,7.7715611723761e-16,0,TRUE,TRUE
12,5,7,2,2.07750483482982e-14,0,TRUE,TRUE
13,4,8,26,1.55431223447522e-15,0,TRUE,TRUE
14,5,9,36,2.4980018054066e-15,0,TRUE,TRUE
15,4,9,26,4.44089209850063e-16,0,TRUE,TRUE
16,9,3,18,3.88578058618805e-16,0,TRUE,TRUE
17,7,4,27,3.33066907387547e-16,0,TRUE,TRUE
18,8,7,3,1.08246744900953e-15,0,TRUE,TRUE
19,6,7,22,2.4980018054066e-16,0,TRUE,TRUE
20,8,8,18,1.16573417585641e-15,0,TRUE,TRUE
21,7,8,15,1.22124532708767e-15,0,TRUE,TRUE
22,8,4,14,7.7715611723761e-16,0,TRUE,TRUE
23,9,3,34,1.27675647831893e-15,0,TRUE,TRUE
24,4,5,35,1.11022302462516e-15,0,TRUE,TRUE
25,9,5,20,3.33066907387547e-16,0,TRUE,TRUE
26,7,2,7,6.66133814775094e-16,0,TRUE,TRUE
27,4,4,30,4.44089209850063e-16,0,TRUE,TRUE
28,5,4,22,1.66533453693773e-15,0,TRUE,TRUE
29,9,6,30,7.7715611723761e-15,0,TRUE,TRUE
30,5,8,36,8.88178419700125e-16,0,TRUE,TRUE
31,4,7,4,9.43689570931383e-16,0,TRUE,TRUE
32,7,9,11,1.11022302462516e-15,0,TRUE,TRUE
33,5,5,13,2.22044604925031e-16,0,TRUE,TRUE
34,7,3,16,9.43689570931383e-16,0,TRUE,TRUE
35,6,2,26,2.22044604925031e-16,0,TRUE,TRUE
36,8,2,38,2.22044604925031e-16,0,TRUE,TRUE
37,5,8,5,2.38697950294409e-15,0,TRUE,TRUE
38,2,5,21,2.22044604925031e-16,0,TRUE,TRUE
39,8,8,2,5.32907051820075e-15,0,TRUE,TRUE
40,6,5,9,1.66533453693773e-15,0,TRUE,TRUE
41,3,5,27,7.07767178198537e-16,0,TRUE,TRUE
42,4,7,38,2.22044604925031e-16,0,TRUE,TRUE
43,5,6,20,7.21644966006352e-16,0,TRUE,TRUE
44,3,8,13,4.44089209850063e-16,0,TRUE,TRUE
45,6,3,35,2.22044604925031e-16,0,TRUE,TRUE
46,6,6,7,6.66133814775094e-16,0,TRUE,TRUE
47,6,8,29,2.22044604925031e-16,0,TRUE,TRUE
48,9,2,13,2.22044604925031e-16,0,TRUE,TRUE
49,7,7,15,8.88178419700125e-16,0,TRUE,TRUE
50,7,4,15,5.55111512312578e-16,0,TRUE,TRUE
51,3,6,38,1.94289029309402e-16,0,TRUE,TRUE
52,2,2,18,6.66133814775094e-16,0,TRUE,TRUE
53,3,5,9,2.22044604925031e-16,0,TRUE,TRUE
54,5,4,17,3.33066907387547e-16,0,TRUE,TRUE
55,6,4,27,5.13478148889135e-16,0,TRUE,TRUE
56,7,5,32,1.94289029309402e-15,0,TRUE,TRUE
57,4,2,7,2.22044604925031e-16,0,TRUE,TRUE
58,7,4,35,6.10622663543836e-16,0,TRUE,TRUE
59,2,3,36,1.66533453693773e-16,0,TRUE,TRUE
60,9,4,9,1.55431223447522e-15,0,TRUE,TRUE
61,3,8,26,3.33066907387547e-16,0,TRUE,TRUE
62,2,3,11,1.11022302462516e-16,0,TRUE,TRUE
63,3,6,16,4.44089209850063e-16,0,TRUE,TRUE
64,7,7,25,3.21964677141295e-15,0,TRUE,TRUE
65,7,4,12,2.22044604925031e-16,0,TRUE,TRUE
66,8,6,9,4.44089209850063e-16,0,TRUE,TRUE
67,5,9,24,4.44089209850063e-16,0,TRUE,TRUE
68,2,8,32,1.94289029309402e-16,0,TRUE,TRUE
69,3,6,12,4.44089209850063e-16,0,TRUE,TRUE
70,7,4,10,1.11022302462516e-15,0,TRUE,TRUE
71,6,9,3,1.77635683940025e-15,0,TRUE,TRUE
72,8,8,8,4.44089209850063e-16,0,TRUE,TRUE
73,2,5,32,6.66133814775094e-16,0,TRUE,TRUE
74,4,7,25,3.33066907387547e-16,0,TRUE,TRUE
75,9,8,29,5.55111512312578e-16,0,TRUE,TRUE
76,7,8,40,7.49400541621981e-16,0,TRUE,TRUE
77,3,3,6,1.11022302462516e-16,0,TRUE,TRUE
78,7,2,36,2.22044604925031e-16,0,TRUE,TRUE
79,8,2,35,3.33066907387547e-16,0,TRUE,TRUE
80,9,7,27,6.66133814775094e-16,0,TRUE,TRUE
81,2,9,19,2.22044604925031e-16,0,TRUE,TRUE
82,9,2,35,1.22124532708767e-15,0,TRUE,TRUE
83,9,8,30,4.44089209850063e-16,0,TRUE,TRUE
84,2,4,25,2.77555756156289e-16,0,TRUE,TRUE
85,7,5,13,4.44089209850063e-16,0,TRUE,TRUE
86,9,7,4,4.44089209850063e-16,0,TRUE,TRUE
87,3,5,33,6.2450045135165e-16,0,TRUE,TRUE
88,4,5,10,2.77555756156289e-16,0,TRUE,TRUE
89,6,6,3,8.88178419700125e-16,0,TRUE,TRUE
90,7,6,13,1.33226762955019e-15,0,TRUE,TRUE
