"repeat_index","case","exposures","outcomes","snps","max_delta","exact","finite_serial"
1,1,6,3,24,0,TRUE,TRUE
1,2,3,6,16,0,TRUE,TRUE
1,3,5,2,21,0,TRUE,TRUE
1,4,5,6,17,0,TRUE,TRUE
1,5,6,5,7,0,TRUE,TRUE
1,6,5,5,17,0,TRUE,TRUE
1,7,4,6,10,0,TRUE,TRUE
1,8,2,6,21,0,TRUE,TRUE
1,9,2,3,19,0,TRUE,TRUE
1,10,3,6,3,0,TRUE,TRUE
1,11,5,3,24,0,TRUE,TRUE
1,12,2,4,14,0,TRUE,TRUE
1,13,3,2,14,0,TRUE,TRUE
1,14,5,3,8,0,TRUE,TRUE
1,15,6,3,6,0,TRUE,TRUE
1,16,3,5,13,0,TRUE,TRUE
1,17,5,2,12,0,TRUE,TRUE
1,18,4,2,17,0,TRUE,TRUE
1,19,6,3,25,0,TRUE,TRUE
1,20,6,2,3,0,TRUE,TRUE
1,21,2,4,21,0,TRUE,TRUE
1,22,3,6,17,0,TRUE,TRUE
1,23,2,4,13,0,TRUE,TRUE
1,24,5,2,6,0,TRUE,TRUE
1,25,4,5,11,0,TRUE,TRUE
1,26,2,3,12,0,TRUE,TRUE
1,27,5,5,23,0,TRUE,TRUE
1,28,5,3,16,0,TRUE,TRUE
1,29,3,4,8,0,TRUE,TRUE
1,30,4,3,3,0,TRUE,TRUE
1,31,2,3,18,0,TRUE,TRUE
1,32,2,3,7,0,TRUE,TRUE
1,33,4,2,25,0,TRUE,TRUE
1,34,6,3,10,0,TRUE,TRUE
1,35,2,4,5,0,TRUE,TRUE
1,36,2,4,21,0,TRUE,TRUE
1,37,3,2,17,0,TRUE,TRUE
1,38,2,3,9,0,TRUE,TRUE
1,39,3,4,5,0,TRUE,TRUE
1,40,6,5,3,0,TRUE,TRUE
1,41,4,3,5,0,TRUE,TRUE
1,42,3,2,20,0,TRUE,TRUE
1,43,2,5,7,0,TRUE,TRUE
1,44,3,6,23,0,TRUE,TRUE
1,45,4,3,19,0,TRUE,TRUE
1,46,3,6,4,0,TRUE,TRUE
1,47,3,6,6,0,TRUE,TRUE
1,48,3,4,23,0,TRUE,TRUE
1,49,6,4,14,0,TRUE,TRUE
1,50,6,4,3,0,TRUE,TRUE
2,1,3,6,4,0,TRUE,TRUE
2,2,6,6,16,0,TRUE,TRUE
2,3,2,6,15,0,TRUE,TRUE
2,4,2,5,18,0,TRUE,TRUE
2,5,4,3,20,0,TRUE,TRUE
2,6,3,6,5,0,TRUE,TRUE
2,7,3,3,15,0,TRUE,TRUE
2,8,2,4,15,0,TRUE,TRUE
2,9,6,5,14,0,TRUE,TRUE
2,10,5,4,3,0,TRUE,TRUE
2,11,2,3,24,0,TRUE,TRUE
2,12,5,4,14,0,TRUE,TRUE
2,13,6,4,5,0,TRUE,TRUE
2,14,3,4,23,0,TRUE,TRUE
2,15,5,3,25,0,TRUE,TRUE
2,16,2,3,22,0,TRUE,TRUE
2,17,3,2,14,0,TRUE,TRUE
2,18,4,2,14,0,TRUE,TRUE
2,19,2,4,19,0,TRUE,TRUE
2,20,5,4,3,0,TRUE,TRUE
2,21,2,2,21,0,TRUE,TRUE
2,22,5,5,10,0,TRUE,TRUE
2,23,6,6,22,0,TRUE,TRUE
2,24,5,2,7,0,TRUE,TRUE
2,25,5,2,6,0,TRUE,TRUE
2,26,4,4,10,0,TRUE,TRUE
2,27,6,4,12,0,TRUE,TRUE
2,28,4,2,10,0,TRUE,TRUE
2,29,3,4,17,0,TRUE,TRUE
2,30,6,6,3,0,TRUE,TRUE
2,31,5,5,11,0,TRUE,TRUE
2,32,2,6,22,0,TRUE,TRUE
2,33,2,3,11,0,TRUE,TRUE
2,34,4,5,6,0,TRUE,TRUE
2,35,6,5,18,0,TRUE,TRUE
2,36,2,2,12,0,TRUE,TRUE
2,37,6,4,14,0,TRUE,TRUE
2,38,2,2,22,0,TRUE,TRUE
2,39,6,6,16,0,TRUE,TRUE
2,40,4,2,3,0,TRUE,TRUE
2,41,6,4,13,0,TRUE,TRUE
2,42,5,5,17,0,TRUE,TRUE
2,43,4,6,16,0,TRUE,TRUE
2,44,5,6,6,0,TRUE,TRUE
2,45,4,4,6,0,TRUE,TRUE
2,46,3,6,19,0,TRUE,TRUE
2,47,5,5,14,0,TRUE,TRUE
2,48,5,3,25,0,TRUE,TRUE
2,49,5,2,14,0,TRUE,TRUE
2,50,5,5,3,0,TRUE,TRUE
3,1,4,2,4,0,TRUE,TRUE
3,2,6,2,22,0,TRUE,TRUE
3,3,5,6,5,0,TRUE,TRUE
3,4,5,4,13,0,TRUE,TRUE
3,5,3,5,5,0,TRUE,TRUE
3,6,4,3,12,0,TRUE,TRUE
3,7,3,2,5,0,TRUE,TRUE
3,8,6,5,15,0,TRUE,TRUE
3,9,6,6,15,0,TRUE,TRUE
3,10,5,6,3,0,TRUE,TRUE
3,11,6,6,11,0,TRUE,TRUE
3,12,3,2,15,0,TRUE,TRUE
3,13,4,4,11,0,TRUE,TRUE
3,14,3,5,25,0,TRUE,TRUE
3,15,6,3,13,0,TRUE,TRUE
3,16,3,2,14,0,TRUE,TRUE
3,17,3,2,6,0,TRUE,TRUE
3,18,5,3,12,0,TRUE,TRUE
3,19,4,6,12,0,TRUE,TRUE
3,20,5,6,3,0,TRUE,TRUE
3,21,6,6,24,0,TRUE,TRUE
3,22,6,6,15,0,TRUE,TRUE
3,23,6,2,25,0,TRUE,TRUE
3,24,4,4,8,0,TRUE,TRUE
3,25,2,5,25,0,TRUE,TRUE
3,26,4,2,21,0,TRUE,TRUE
3,27,2,3,5,0,TRUE,TRUE
3,28,6,4,20,0,TRUE,TRUE
3,29,4,3,21,0,TRUE,TRUE
3,30,4,3,3,0,TRUE,TRUE
3,31,3,4,12,0,TRUE,TRUE
3,32,6,2,6,0,TRUE,TRUE
3,33,2,5,13,0,TRUE,TRUE
3,34,6,2,23,0,TRUE,TRUE
3,35,4,3,5,0,TRUE,TRUE
3,36,5,2,10,0,TRUE,TRUE
3,37,2,4,7,0,TRUE,TRUE
3,38,4,3,21,0,TRUE,TRUE
3,39,6,2,16,0,TRUE,TRUE
3,40,6,4,3,0,TRUE,TRUE
3,41,4,4,6,0,TRUE,TRUE
3,42,2,2,6,0,TRUE,TRUE
3,43,5,3,22,0,TRUE,TRUE
3,44,3,6,21,0,TRUE,TRUE
3,45,2,5,4,0,TRUE,TRUE
3,46,2,2,6,0,TRUE,TRUE
3,47,2,2,11,0,TRUE,TRUE
3,48,5,6,14,0,TRUE,TRUE
3,49,6,2,20,0,TRUE,TRUE
3,50,5,4,3,0,TRUE,TRUE
