"repeat_index","case","snps","max_delta","exact","finite_serial"
1,1,20,0,TRUE,TRUE
1,2,15,0,TRUE,TRUE
1,3,9,0,TRUE,TRUE
1,4,20,0,TRUE,TRUE
1,5,20,0,TRUE,TRUE
1,6,4,0,TRUE,TRUE
1,7,11,0,TRUE,TRUE
1,8,11,0,TRUE,TRUE
1,9,16,0,TRUE,TRUE
1,10,3,0,TRUE,TRUE
1,11,12,0,TRUE,TRUE
1,12,18,0,TRUE,TRUE
1,13,15,0,TRUE,TRUE
1,14,7,0,TRUE,TRUE
1,15,8,0,TRUE,TRUE
1,16,13,0,TRUE,TRUE
1,17,19,0,TRUE,TRUE
1,18,13,0,TRUE,TRUE
1,19,7,0,TRUE,TRUE
1,20,3,0,TRUE,TRUE
1,21,15,0,TRUE,TRUE
1,22,14,0,TRUE,TRUE
1,23,10,0,TRUE,TRUE
1,24,15,0,TRUE,TRUE
1,25,10,0,TRUE,TRUE
1,26,18,0,TRUE,TRUE
1,27,13,0,TRUE,TRUE
1,28,12,0,TRUE,TRUE
1,29,11,0,TRUE,TRUE
1,30,3,0,TRUE,TRUE
1,31,8,0,TRUE,TRUE
1,32,12,0,TRUE,TRUE
1,33,10,0,TRUE,TRUE
1,34,13,0,TRUE,TRUE
1,35,5,0,TRUE,TRUE
1,36,19,0,TRUE,TRUE
1,37,19,0,TRUE,TRUE
1,38,9,0,TRUE,TRUE
1,39,13,0,TRUE,TRUE
1,40,3,0,TRUE,TRUE
1,41,19,0,TRUE,TRUE
1,42,12,0,TRUE,TRUE
1,43,6,0,TRUE,TRUE
1,44,6,0,TRUE,TRUE
1,45,16,0,TRUE,TRUE
1,46,16,0,TRUE,TRUE
1,47,7,0,TRUE,TRUE
1,48,20,0,TRUE,TRUE
1,49,12,0,TRUE,TRUE
1,50,3,0,TRUE,TRUE
1,51,11,0,TRUE,TRUE
1,52,8,0,TRUE,TRUE
1,53,4,0,TRUE,TRUE
1,54,16,0,TRUE,TRUE
1,55,9,0,TRUE,TRUE
1,56,17,0,TRUE,TRUE
1,57,7,0,TRUE,TRUE
1,58,15,0,TRUE,TRUE
1,59,11,0,TRUE,TRUE
1,60,3,0,TRUE,TRUE
1,61,13,0,TRUE,TRUE
1,62,9,0,TRUE,TRUE
1,63,5,0,TRUE,TRUE
1,64,18,0,TRUE,TRUE
1,65,19,0,TRUE,TRUE
1,66,12,0,TRUE,TRUE
1,67,10,0,TRUE,TRUE
1,68,12,0,TRUE,TRUE
1,69,7,0,TRUE,TRUE
1,70,3,0,TRUE,TRUE
1,71,12,0,TRUE,TRUE
1,72,13,0,TRUE,TRUE
1,73,19,0,TRUE,TRUE
1,74,13,0,TRUE,TRUE
1,75,8,0,TRUE,TRUE
1,76,20,0,TRUE,TRUE
1,77,8,0,TRUE,TRUE
1,78,5,0,TRUE,TRUE
1,79,12,0,TRUE,TRUE
1,80,3,0,TRUE,TRUE
1,81,5,0,TRUE,TRUE
1,82,13,0,TRUE,TRUE
1,83,12,0,TRUE,TRUE
1,84,6,0,TRUE,TRUE
1,85,14,0,TRUE,TRUE
1,86,9,0,TRUE,TRUE
1,87,19,0,TRUE,TRUE
1,88,7,0,TRUE,TRUE
1,89,5,0,TRUE,TRUE
1,90,3,0,TRUE,TRUE
1,91,13,0,TRUE,TRUE
1,92,14,0,TRUE,TRUE
1,93,8,0,TRUE,TRUE
1,94,16,0,TRUE,TRUE
1,95,5,0,TRUE,TRUE
1,96,15,0,TRUE,TRUE
1,97,10,0,TRUE,TRUE
1,98,20,0,TRUE,TRUE
1,99,11,0,TRUE,TRUE
1,100,3,0,TRUE,TRUE
2,1,16,0,TRUE,TRUE
2,2,14,0,TRUE,TRUE
2,3,11,0,TRUE,TRUE
2,4,5,0,TRUE,TRUE
2,5,7,0,TRUE,TRUE
2,6,18,0,TRUE,TRUE
2,7,14,0,TRUE,TRUE
2,8,18,0,TRUE,TRUE
2,9,15,0,TRUE,TRUE
2,10,3,0,TRUE,TRUE
2,11,6,0,TRUE,TRUE
2,12,15,0,TRUE,TRUE
2,13,19,0,TRUE,TRUE
2,14,17,0,TRUE,TRUE
2,15,11,0,TRUE,TRUE
