repetition,randomized_order,workload,format,exposures,outcomes,logical_study_reads,io_threads,total_seconds,io_seconds,estimator_seconds,touch_seconds,source_bytes_read,maximum_rss_bytes,page_faults,page_reclaims,block_input_operations,block_output_operations,physical_staging_bytes_not_timed,staging_seconds_not_timed
1,1,mr_5x5,pcodec_direct,5,5,10,10,0.626,0.609,0.002,0,19561950,139821056,454,23089,0,0,580332970,1.2736658329959027
1,2,mr_25x25,tsv_gz,25,25,50,1,170.349,170.333,0.00800000000000978,0,,1788542976,4370,5264202,0,2,10082900900,17.06938299999456
1,3,full_load,tsv_full,0,0,1,1,3.954,1.728,0,2.219,,2084388864,59,179504,0,1,201658018,0.6233502919785678
1,4,mr_5x5,vcf_tabix,5,5,10,1,0.331,0.318,0.00600000000000001,0,,120012800,127,27595,0,0,2286344850,4.402305041992804
1,5,mr_5x5,tsv_gz,5,5,10,1,32.83,32.817,0.00500000000000256,0,,1658929152,33,1078929,0,0,2016580180,3.3629246249911375
1,6,full_load,vcf_full,0,0,1,1,10.259,7.76,0,2.492,,2013642752,84,170537,0,0,228634485,0.4208327090018429
1,7,mr_25x25,pcodec_direct,25,25,50,20,1.378,1.366,0.00299999999999989,0,97809750,266240000,434,33508,0,0,2901664850,6.41756216698559
1,8,mr_1x1,pcodec_explicit,1,1,2,1,0.379,0.365,0.005,0,3912390,102203392,65,25055,0,0,116066594,0.25539041598676704
1,9,mr_1x1,pcodec_direct,1,1,2,2,0.266,0.256,0.002,0,3912390,95059968,51,19184,0,0,116066594,0.25558004100457765
1,10,mr_5x5,pcodec_explicit,5,5,10,1,1.572,1.559,0.00499999999999989,0,19561950,115752960,177,75473,0,0,580332970,1.274919791991124
1,11,mr_25x25,pcodec_explicit,25,25,50,1,7.624,7.61,0.00600000000000023,0,97809750,122191872,737,323094,0,0,2901664850,6.353857500012964
1,12,full_load,pcodec_full,0,0,1,1,3.182,0.844,0,2.331,58020839,2156937216,51,164834,0,0,58033297,0.12880387500626966
1,13,mr_25x25,vcf_tabix,25,25,50,1,1.518,1.504,0.00600000000000001,0,,129171456,333,97264,0,0,11431724250,20.627541417023167
1,14,mr_1x1,vcf_tabix,1,1,2,1,0.085,0.074,0.005,0,,114868224,45,13488,0,0,457268970,0.8236310420033988
1,15,mr_1x1,tsv_gz,1,1,2,1,6.777,6.764,0.00499999999999989,0,,1655930880,33,223417,0,0,403316036,0.6774652080202941
2,16,mr_5x5,tsv_gz,5,5,10,1,32.412,32.399,0.00499999999999545,0,,1675427840,33,1079849,0,1,2016580180,3.346801541018067
2,17,mr_5x5,pcodec_direct,5,5,10,10,0.465,0.453,0.002,0,19561950,146325504,51,24125,0,0,580332970,1.28252199999406
2,18,mr_1x1,vcf_tabix,1,1,2,1,0.097,0.084,0.005,0,,114868224,45,13491,0,0,457268970,0.8325832500122488
2,19,mr_5x5,pcodec_explicit,5,5,10,1,1.612,1.599,0.00499999999999989,0,19561950,114049024,177,75256,0,0,580332970,1.2759637080016546
2,20,mr_25x25,pcodec_direct,25,25,50,20,1.274,1.261,0.00299999999999989,0,97809750,265469952,51,33616,0,0,2901664850,6.362128417007625
2,21,full_load,vcf_full,0,0,1,1,9.834,7.598,0,2.229,,2013659136,42,170592,0,0,228634485,0.41265920898877084
2,22,mr_25x25,vcf_tabix,25,25,50,1,1.53,1.517,0.00599999999999978,0,,126926848,333,97047,0,0,11431724250,21.00242779101245
2,23,mr_1x1,pcodec_explicit,1,1,2,1,0.389,0.377,0.004,0,3912390,106053632,65,25208,0,0,116066594,0.2577727080206387
2,24,full_load,pcodec_full,0,0,1,1,3.14,0.845,0,2.288,58020839,2168586240,51,164384,0,0,58033297,0.1274975409905892
2,25,mr_1x1,pcodec_direct,1,1,2,2,0.264,0.253,0.002,0,3912390,83935232,51,18543,0,0,116066594,0.25536004098830745
2,26,mr_1x1,tsv_gz,1,1,2,1,6.747,6.735,0.00499999999999989,0,,1646084096,33,222799,0,0,403316036,0.677429083007155
2,27,mr_5x5,vcf_tabix,5,5,10,1,0.326,0.312,0.00600000000000001,0,,122224640,93,27732,0,0,2286344850,4.104488416982349
2,28,full_load,tsv_full,0,0,1,1,3.938,1.69,0,2.241,,2086371328,33,179651,0,0,201658018,0.33503745900816284
2,29,mr_25x25,tsv_gz,25,25,50,1,163.89,163.874,0.00900000000001455,0,,1792901120,12432,5256196,0,8,10082900900,16.717213541996898
2,30,mr_25x25,pcodec_explicit,25,25,50,1,7.653,7.639,0.00599999999999934,0,97809750,117047296,1140,322424,0,0,2901664850,6.43021525000222
3,31,mr_1x1,tsv_gz,1,1,2,1,6.692,6.679,0.00499999999999989,0,,1658159104,43,223499,0,0,403316036,1.010230625019176
3,32,mr_25x25,pcodec_direct,25,25,50,20,1.249,1.236,0.00299999999999989,0,97809750,269942784,51,33668,0,0,2901664850,6.359403042006306
3,33,mr_1x1,pcodec_direct,1,1,2,2,0.255,0.243,0.002,0,3912390,85688320,51,18474,0,0,116066594,0.26101570899481885
3,34,mr_5x5,pcodec_explicit,5,5,10,1,1.587,1.574,0.00500000000000012,0,19561950,114786304,177,75317,0,0,580332970,1.277966458001174
3,35,mr_5x5,vcf_tabix,5,5,10,1,0.33,0.316,0.00600000000000001,0,,122322944,116,27741,0,0,2286344850,4.670782125002006
3,36,mr_1x1,pcodec_explicit,1,1,2,1,0.387,0.374,0.005,0,3912390,95158272,65,24635,0,0,116066594,0.25850137500674464
3,37,mr_25x25,tsv_gz,25,25,50,1,173.13,173.114,0.00799999999998136,0,,1789313024,33679,5235102,0,3,10082900900,19.35876741699758
3,38,full_load,vcf_full,0,0,1,1,10.356,8.047,0,2.302,,2009923584,116,170328,0,0,228634485,0.6997696670005098
3,39,mr_5x5,pcodec_direct,5,5,10,10,0.599,0.587,0.002,0,19561950,146227200,445,23278,0,0,580332970,1.3508748339954764
3,40,full_load,pcodec_full,0,0,1,1,3.2,0.873,0,2.32,58020839,2170126336,51,164681,0,0,58033297,0.1286062500148546
3,41,mr_25x25,vcf_tabix,25,25,50,1,1.537,1.523,0.00600000000000001,0,,128073728,350,97130,0,0,11431724250,22.043378833011957
3,42,mr_25x25,pcodec_explicit,25,25,50,1,7.618,7.604,0.00599999999999934,0,97809750,115490816,737,322839,0,0,2901664850,6.366084000008414
3,43,mr_1x1,vcf_tabix,1,1,2,1,0.084,0.071,0.005,0,,114933760,45,13495,0,0,457268970,0.8903056659910362
3,44,full_load,tsv_full,0,0,1,1,3.941,1.682,0,2.251,,2088927232,33,179807,0,0,201658018,0.6211368750082329
3,45,mr_5x5,tsv_gz,5,5,10,1,33.673,33.661,0.00500000000000256,0,,1671217152,33,1079580,0,0,2016580180,3.877690416004043
4,46,mr_5x5,pcodec_direct,5,5,10,10,0.461,0.45,0.002,0,19561950,145539072,51,24214,0,0,580332970,1.2671480829885695
4,47,mr_5x5,pcodec_explicit,5,5,10,1,1.535,1.522,0.00499999999999989,0,19561950,115572736,177,75228,0,0,580332970,1.2741719579789788
4,48,mr_5x5,tsv_gz,5,5,10,1,33.883,33.87,0.00500000000000256,0,,1676656640,33,1079926,0,1,2016580180,3.8752687909873202
4,49,mr_1x1,pcodec_explicit,1,1,2,1,0.387,0.374,0.005,0,3912390,107446272,65,25385,0,0,116066594,0.26085270900512114
4,50,mr_1x1,tsv_gz,1,1,2,1,6.764,6.75,0.00499999999999989,0,,1655177216,33,223243,0,0,403316036,0.7852807079907507
4,51,mr_25x25,tsv_gz,25,25,50,1,165.266,165.25,0.00799999999998136,0,,1790377984,10401,5258218,0,1,10082900900,19.34439879198908
4,52,mr_25x25,pcodec_explicit,25,25,50,1,7.646,7.631,0.00599999999999934,0,97809750,119914496,1147,322739,0,0,2901664850,6.442029833997367
4,53,mr_5x5,vcf_tabix,5,5,10,1,0.328,0.314,0.00600000000000001,0,,122109952,126,27716,0,0,2286344850,4.662785417021951
4,54,mr_25x25,pcodec_direct,25,25,50,20,1.26,1.247,0.004,0,97809750,270303232,51,33635,0,0,2901664850,6.376196417026222
4,55,mr_25x25,vcf_tabix,25,25,50,1,1.544,1.531,0.00500000000000012,0,,128417792,333,97134,0,0,11431724250,22.04093808401376
4,56,full_load,vcf_full,0,0,1,1,10.163,7.623,0,2.533,,2003697664,84,169921,0,0,228634485,0.44955758401192725
4,57,mr_1x1,vcf_tabix,1,1,2,1,0.086,0.074,0.004,0,,114868224,45,13487,0,0,457268970,0.8834019170026295
4,58,full_load,pcodec_full,0,0,1,1,3.139,0.833,0,2.299,58020839,2159099904,51,164505,0,0,58033297,0.14283770800102502
4,59,mr_1x1,pcodec_direct,1,1,2,2,0.264,0.254,0.001,0,3912390,96518144,51,19213,0,0,116066594,0.25343712500762194
4,60,full_load,tsv_full,0,0,1,1,4.036,1.764,0,2.265,,2087550976,33,179711,0,0,201658018,0.622463500010781
5,61,mr_1x1,tsv_gz,1,1,2,1,6.701,6.688,0.00499999999999989,0,,1647755264,33,222879,0,0,403316036,0.7837619580095634
5,62,full_load,pcodec_full,0,0,1,1,3.182,0.846,0,2.329,58020839,2168799232,51,163611,0,0,58033297,0.130910625011893
5,63,mr_1x1,vcf_tabix,1,1,2,1,0.084,0.071,0.005,0,,104448000,45,12855,0,0,457268970,0.8870202499965671
5,64,mr_5x5,vcf_tabix,5,5,10,1,0.332,0.319,0.005,0,,119816192,93,27612,0,0,2286344850,4.407422999996925
