workload,format,runs,io_threads,median_total_seconds,min_total_seconds,max_total_seconds,median_io_seconds,median_estimator_seconds,median_peak_rss_bytes,median_pcodec_source_bytes_read
full_load,pcodec_full,5,1,3.182,3.139,3.2,0.845,0.0,2168586240,58020839.0
full_load,tsv_full,5,1,3.954,3.938,4.036,1.69,0.0,2086371328,
full_load,vcf_full,5,1,10.163,9.834,10.356,7.623,0.0,2013642752,
mr_1x1,pcodec_direct,5,2,0.264,0.255,0.309,0.254,0.002,95059968,3912390.0
mr_1x1,pcodec_explicit,5,1,0.387,0.379,0.389,0.374,0.005,106053632,3912390.0
mr_1x1,tsv_gz,5,1,6.747,6.692,6.777,6.735,0.00499999999999989,1655177216,
mr_1x1,vcf_tabix,5,1,0.085,0.084,0.097,0.074,0.005,114868224,
mr_25x25,pcodec_direct,5,20,1.274,1.249,1.378,1.261,0.00299999999999989,269942784,97809750.0
mr_25x25,pcodec_explicit,5,1,7.624,7.535,7.653,7.61,0.00599999999999934,119914496,97809750.0
mr_25x25,tsv_gz,5,1,165.266,163.466,173.13,165.25,0.00800000000000978,1790377984,
mr_25x25,vcf_tabix,5,1,1.537,1.518,1.544,1.523,0.00600000000000001,128417792,
mr_5x5,pcodec_direct,5,10,0.479,0.461,0.626,0.468,0.002,146227200,19561950.0
mr_5x5,pcodec_explicit,5,1,1.581,1.535,1.612,1.569,0.00499999999999989,115163136,19561950.0
mr_5x5,tsv_gz,5,1,32.83,32.412,33.883,32.817,0.00500000000000256,1671217152,
mr_5x5,vcf_tabix,5,1,0.33,0.326,0.332,0.316,0.00600000000000001,122109952,
