"panel","nsnp","method","abs_beta_delta","abs_se_delta","abs_pval_delta"
1,8,"simple_mode",3.5527136788005e-15,0,2.88657986402541e-15
1,8,"weighted_mode",3.5527136788005e-15,7.24420523567915e-15,1.16226472890446e-15
2,19,"simple_mode",0,1.11022302462516e-15,1.11022302462516e-15
2,19,"weighted_mode",0,8.32667268468867e-17,1.35308431126191e-16
3,20,"simple_mode",8.88178419700125e-16,0,4.32986979603811e-15
3,20,"weighted_mode",8.88178419700125e-16,0,3.67761376907083e-16
4,18,"simple_mode",0,3.88578058618805e-16,1.11022302462516e-16
4,18,"weighted_mode",0,5.55111512312578e-16,1.99840144432528e-15
5,11,"simple_mode",0,0,0
5,11,"weighted_mode",0,0,0
6,20,"simple_mode",0,2.83106871279415e-15,8.88178419700125e-16
6,20,"weighted_mode",0,3.66373598126302e-15,9.10382880192628e-15
7,14,"simple_mode",0,1.01696429055664e-13,1.33226762955019e-14
7,14,"weighted_mode",0,3.13082892944294e-14,2.22044604925031e-15
8,6,"simple_mode",0,0,0
8,6,"weighted_mode",0,0,0
9,12,"simple_mode",0,1.33226762955019e-15,3.33066907387547e-16
9,12,"weighted_mode",0,0,0
10,19,"simple_mode",0,1.0547118733939e-14,1.06303854607859e-14
10,19,"weighted_mode",0,0,0
11,9,"simple_mode",0,1.66533453693773e-16,5.55111512312578e-17
11,9,"weighted_mode",0,6.52256026967279e-16,2.44249065417534e-15
12,19,"simple_mode",0,1.63757896132211e-15,3.5527136788005e-15
12,19,"weighted_mode",0,0,0
