"exposure","outcome","method","beta_delta","se_delta","pval_delta"
1,1,"ivw",5.55111512312578e-17,1.38777878078145e-17,4.31901345608504e-29
1,1,"egger",1.66533453693773e-16,2.77555756156289e-17,6.93889390390723e-18
1,1,"weighted_median",0,0,0
1,1,"simple_mode",1.66533453693773e-16,0,0
1,1,"weighted_mode",0,0,0
4,8,"ivw",0,0,0
4,8,"egger",3.33066907387547e-16,1.38777878078145e-17,5.63785129692462e-18
4,8,"weighted_median",0,0,0
4,8,"simple_mode",3.33066907387547e-16,0,0
4,8,"weighted_mode",5.55111512312578e-17,0,0
7,11,"ivw",3.33066907387547e-16,2.77555756156289e-17,1.49883571991992e-28
7,11,"egger",1.33226762955019e-15,8.32667268468867e-17,2.12503625807159e-17
7,11,"weighted_median",0,0,0
7,11,"simple_mode",5.55111512312578e-17,0,0
7,11,"weighted_mode",2.22044604925031e-16,0,0
